Id,Name,Agreement_Name__c,old_category,new_category,result
006WR00000xuay7YAA,Omaha_MDU_801 N 48th St,Omaha_MDU_801 N 48th St,,Cat 1,OK
006WR00000xuca7YAA,Omaha_MDU_621 N 48th St,Omaha_MDU_621 N 48th St,,Cat 1,OK
006WR00000xue0pYAA,Killeen_MDU_404 N 16th St,Killeen_MDU_404 N 16th St,,Cat 1,OK
006WR00000xuf3NYAQ,Harker Heights_MDU_Dove Lane Apts,Harker Heights_MDU_Dove Lane Apts,,Cat 1,OK
006WR00000xufUnYAI,Omaha_MDU_4923-4925 Webster St,Omaha_MDU_4923-4925 Webster St,,Cat 1,OK
006WR00000xuoRcYAI,Killeen_MDU_Laforce Apts,Killeen_MDU_Laforce Apts,,Cat 1,OK
006WR00000xuripYAA,Omaha_MDU_Richland Apartments,Omaha_MDU_Richland Apartments,,Cat 1,OK
006WR00000xus3rYAA,Keller_MDU_Town and Country Apartments,Keller_MDU_Town and Country Apartments,,Cat 1,OK
006WR00000xuz8YYAQ,Omaha_MDU_4437 Franklin St,Omaha_MDU_4437 Franklin St,,Cat 1,OK
006WR00000xv1n4YAA,Omaha_MDU_409 N 49th St,Omaha_MDU_409 N 49th St,,Cat 1,OK
006WR00000xv762YAA,Omaha_MDU_4916 Capitol Ave,Omaha_MDU_4916 Capitol Ave,,Cat 1,OK
006WR00000xv9KmYAI,Omaha_MDU_Century House Apartments,Omaha_MDU_Century House Apartments,,Cat 1,OK
006WR00000xvCKIYA2,Omaha_MDU_Ambassador Apartments,OMAHA_MDU_AMBASSADOR APARTMENTS,,Cat 1,OK
006WR00000xvDg7YAE,Omaha_MDU_817 N 47th St,Omaha_MDU_817 N 47th St,,Cat 1,OK
006WR00000xvElsYAE,Omaha_MDU_1016 N 47TH AVE,Omaha_MDU_1016 N 47TH AVE,,Cat 1,OK
006WR00000xvHqCYAU,Omaha_MDU_Northbrook Apartments,Omaha_MDU_Northbrook Apartments,,Cat 1,OK
006WR00000xvIPeYAM,Omaha_MDU_4713 Davenport St,Omaha_MDU_4713 Davenport St,,Cat 1,OK
006WR00000xvJNLYA2,Omaha_MDU_108 S 49TH Ave,OMAHA_MDU_108 S 49TH AVE,,Cat 1,OK
006WR00000xvK6UYAU,Omaha_MDU_Beacon Heights Apts,Omaha_MDU_Beacon Heights Apts,,Cat 1,OK
006WR00000xvNyrYAE,Omaha_MDU_4716 Cuming St,Omaha_MDU_4716 Cuming St,,Cat 1,OK
006WR00000xvRuNYAU,Omaha_MDU_4501 Lafayette Ave,Omaha_MDU_4501 Lafayette Ave,,Cat 1,OK
006WR00000xvV0KYAU,Killeen_MDU_Paradise Cove,Killeen_MDU_Paradise Cove,,Cat 1,OK
006WR00000xvVMsYAM,OMAHA_MDU_Elwood Apartments,OMAHA_MDU_Elwood Apartments,,Cat 1,OK
006WR00000xvXYPYA2,Omaha_MDU_Sweet Briar,Omaha_MDU_Sweet Briar,,Cat 1,OK
006WR00000xvY7sYAE,Killeen_MDU_Dugger Apts,Killeen_MDU_Dugger Apts,,Cat 1,OK
006WR00000xvZ5WYAU,Killeen_MDU_1610 N 8th St,Killeen_MDU_1610 N 8th St,,Cat 1,OK
006WR00000xvc1mYAA,Killeen_MDU_Townshires Apartments,Killeen_MDU_Townshires Apartments,,Cat 1,OK
006WR00000xvcBUYAY,Killeen_MDU_308 N 14th St,Killeen_MDU_308 N 14th St,,Cat 1,OK
006WR00000xvcMkYAI,Omaha_MDU_1015 N 47TH AVE,Omaha_MDU_1015 N 47TH AVE,,Cat 1,OK
006WR00000xvcPzYAI,Omaha_MDU_Stanley Apartments,Omaha_MDU_Stanley Apartments,,Cat 1,OK
006WR00000xvcUoYAI,Omaha_MDU_4644-4648 Cuming St,Omaha_MDU_4644-4648 Cuming St,,Cat 1,OK
006WR00000xvdKRYAY,Omaha_MDU_4804-4806 Capital Ave,Omaha_MDU_4804-4806 Capital Ave,,Cat 1,OK
006WR00000xveGUYAY,Omaha_MDU_6201-6261 Ville De Sante Townhomes,Omaha_MDU_6201-6261 Ville De Sante Townhomes,,Cat 1,OK
006WR00000xvgbfYAA,Killeen_MDU_Gilmer Street Apartments,Killeen_MDU_Gilmer Street Apartments,,Cat 1,OK
006WR00000xvgdJYAQ,Killeen_MDU_305-307 Blair St,Killeen_MDU_305-307 Blair St,,Cat 1,OK
006WR00000xviARYAY,Omaha_MDU_9214-9224 Ohio St,Omaha_MDU_9214-9224 Ohio St,,Cat 1,OK
006WR00000xviQYYAY,Omaha_MDU_618-636 N 46th St,Omaha_MDU_618-636 N 46th St,,Cat 1,OK
006WR00000xvk0wYAA,Omaha_MDU_4902_4904 N Chicago St,Omaha_MDU_4902_4904 N Chicago St,,Cat 1,OK
006WR00000xvk2bYAA,Omaha_MDU_Buckingham Manor Apartments,Omaha_MDU_Buckingham Manor Apartments,,Cat 1,OK
006WR00000xvlMoYAI,Killeen_MDU_Palo Alto Apartments,Killeen_MDU_Palo Alto Apartments,,Cat 1,OK
006WR00000xvlmdYAA,Killeen_MDU_605-607 Atkinson Ave,Killeen_MDU_605-607 Atkinson Ave,,Cat 1,OK
006WR00000xvmPKYAY,Omaha_MDU_Lodestone Apartments,Omaha_MDU_Lodestone Apartments,,Cat 1,OK
006WR00000xvmqkYAA,Killeen_MDU_207 W Young Ave,Killeen_MDU_207 W Young Ave,,Cat 1,OK
006WR00000xvpQTYAY,Killeen_MDU_414 E Avenue A,Killeen_MDU_414 E Avenue A,,Cat 1,OK
006WR00000xvpiBYAQ,KILLEEN_MDU_MCG_Homestead_Rentals,KILLEEN_MDU_MCG_Homestead_Rentals,,Cat 1,OK
006WR00000xvsD0YAI,Killeen_MDU_Casa Grande,Killeen_MDU_Casa Grande,,Cat 1,OK
006WR00000xvtfKYAQ,Omaha_MDU_1115-1117 N 48TH ST,Omaha_MDU_1115-1117 N 48TH ST,,Cat 1,OK
006WR00000xvuTKYAY,Killeen_MDU_Crescent Apts,Killeen_MDU_Crescent Apts,,Cat 1,OK
006WR00000xvv7fYAA,Omaha_MDU_9026-9032 Ohio St,Omaha_MDU_9026-9032 Ohio St,,Cat 1,OK
006WR00000xvwoUYAQ,Omaha_MDU_4704 Cass St,Omaha_MDU_4704 Cass St,,Cat 1,OK
006WR00000xvxxTYAQ,Killeen_MDU_803 761st Tank Battalion Ave,Killeen_MDU_803 761st Tank Battalion Ave,,Cat 1,OK
006WR00000xvzZSYAY,Omaha_MDU_Kelli-Gene Apts,Omaha_MDU_Kelli-Gene Apts,,Cat 1,OK
006WR00000xw0DmYAI,Omaha_MDU_6641 Military Ave Apartments,Omaha_MDU_6641 Military Ave Apartments,,Cat 1,OK
006WR00000xw0IcYAI,Omaha_MDU_Papio Valley Apartments,Omaha_MDU_Papio Valley Apartments,,Cat 1,OK
006WR00000xw0aRYAQ,Omaha_MDU_Wakeley Manor,Omaha_MDU_Wakeley Manor,,Cat 1,OK
006WR00000xw1oAYAQ,KILLEEN_MDU_601_SE_13th_AVE_Mobile_Park,KILLEEN_MDU_601_SE_13th_AVE_Mobile_Park,,Cat 1,OK
006WR00000xw2FcYAI,Omaha_MDU_Birchwood Apartments,Omaha_MDU_Birchwood Apartments,,Cat 1,OK
006WR00000xw38QYAQ,Omaha_MDU_Windsong Apartments,Omaha_MDU_Windsong Apartments,,Cat 1,OK
006WR00000xw3LLYAY,Bridgeport_MDU_Atrium Garden Apartments,Bridgeport_MDU_Atrium Garden Apartments,,Cat 1,OK
006WR00000xw49MYAQ,Omaha_MDU_4544 NICHOLAS ST,Omaha_MDU_4544 NICHOLAS ST,,Cat 1,OK
006WR00000xw4XZYAY,Killeen_MDU_1103-1109 Harbour Ave,Killeen_MDU_1103-1109 Harbour Ave,,Cat 1,OK
006WR00000xw8EYYAY,Omaha_MDU_Carthage Apartments,Omaha_MDU_Carthage Apartments,,Cat 1,OK
006WR00000xw8PrYAI,Killeen_MDU_1809 Nathan Dr,Killeen_MDU_1809 Nathan Dr,,Cat 1,OK
006WR00000xw8eMYAQ,Omaha_MDU_Cherry Hill Apts,Omaha_MDU_Cherry Hill Apts,,Cat 1,OK
006WR00000xw8peYAA,Taylor_MDU_Sunny Lane Apartments,Taylor_MDU_Sunny Lane Apartments,,Cat 1,OK
006WR00000xwAcwYAE,Killeen_MDU_1215 & 1217 N 4th St,Killeen_MDU_1215 & 1217 N 4th St,,Cat 1,OK
006WR00000xwAl0YAE,Harker Heights_MDU_Mockingbird Ln,Harker Heights_MDU_Mockingbird Ln,,Cat 1,OK
006WR00000xwBIsYAM,Mineral Wells_MDU_707 NW 4TH AVE,Mineral Wells_MDU_707 NW 4TH AVE,,Cat 1,OK
006WR00000xwChyYAE,Omaha_MDU_4907 Davenport St,Omaha_MDU_4907 Davenport St,,Cat 1,OK
006WR00000xwDsYYAU,Killeen_MDU_Triple M Rentals,Killeen_MDU_Triple M Rentals,,Cat 1,OK
006WR00000xwEv3YAE,Omaha_MDU_Hamilton Apartments,Omaha_MDU_Hamilton Apartments,,Cat 1,OK
006WR00000xwEwfYAE,OMAHA_MDU_1410 N 45th St_APTS,OMAHA_MDU_1410 N 45th St_APTS,,Cat 1,OK
006WR00000xwEyHYAU,Omaha_MDU_Margaret Mae,Omaha_MDU_Margaret Mae,,Cat 1,OK
006WR00000xwEzuYAE,Omaha_MDU_5314-5322 Corby St,Omaha_MDU_5314-5322 Corby St,,Cat 1,OK
006WR00000xwF37YAE,Omaha_MDU_Sierra Place,Omaha_MDU_Sierra Place,,Cat 1,OK
006WR00000xwF4jYAE,Omaha_MDU_2922 N 54th St Apartments,Omaha_MDU_2922 N 54th St Apartments,,Cat 1,OK
006WR00000xwF6LYAU,Omaha_MDU_302 N 48th St,Omaha_MDU_302 N 48th St,,Cat 1,OK
006WR00000xwFBBYA2,Omaha_MDU_Fontenelle Cottages,Omaha_MDU_Fontenelle Cottages,,Cat 1,OK
006WR00000xwFG1YAM,Omaha_MDU_4114-4122 N 48th St Apartments,Omaha_MDU_4114-4122 N 48th St Apartments,,Cat 1,OK
006WR00000xwFHdYAM,Omaha_MDU_417 N 49th St,Omaha_MDU_417 N 49th St,,Cat 1,OK
006WR00000xwFJFYA2,Omaha_MDU_4157 Hamilton St,Omaha_MDU_4157 Hamilton St,,Cat 1,OK
006WR00000xwFO5YAM,Omaha_MDU_Rue Charles Apartments,Omaha_MDU_Rue Charles Apartments,,Cat 1,OK
006WR00000xwFUXYA2,OMAHA_MDU_Redman AVE APTS,OMAHA_MDU_Redman AVE APTS,,Cat 1,OK
006WR00000xwFW9YAM,Omaha_MDU_4505 Lafayette Ave Halford Apartments,Omaha_MDU_4505 Lafayette Ave Halford Apartments,,Cat 1,OK
006WR00000xwFXlYAM,Omaha_MDU_4509 Lafayette Ave,Omaha_MDU_4509 Lafayette Ave,,Cat 1,OK
006WR00000xwFXmYAM,Omaha_MDU_818 N 46th St,Omaha_MDU_818 N 46th St,,Cat 1,OK
006WR00000xwFZNYA2,Omaha_MDU_4513 Lafayette Ave,Omaha_MDU_4513 Lafayette Ave,,Cat 1,OK
006WR00000xwFZOYA2,Omaha_MDU_Ames Row Houses,Omaha_MDU_Ames Row Houses,,Cat 1,OK
006WR00000xwFeDYAU,Omaha_MDU_4611-4613 North 56th St,Omaha_MDU_4611-4613 North 56th St,,Cat 1,OK
006WR00000xwFj3YAE,Omaha_MDU_4705 Burdette St,Omaha_MDU_4705 Burdette St,,Cat 1,OK
006WR00000xwFkfYAE,Omaha_MDU_4719-4723 Erskine St,Omaha_MDU_4719-4723 Erskine St,,Cat 1,OK
006WR00000xwFmHYAU,Omaha_MDU_Roosevelt Apartments,Omaha_MDU_Roosevelt Apartments,,Cat 1,OK
006WR00000xwFntYAE,Omaha_MDU_Parkgate Apartments,Omaha_MDU_Parkgate Apartments,,Cat 1,OK
006WR00000xwFpVYAU,Omaha_MDU_4728-4730-4732 Chicago St,Omaha_MDU_4728-4730-4732 Chicago St,,Cat 1,OK
006WR00000xwFvxYAE,Omaha_MDU_4811 Chicago St,Omaha_MDU_4811 Chicago St,,Cat 1,OK
006WR00000xwG0nYAE,Omaha_MDU_4904 Davenport St,Omaha_MDU_4904 Davenport St,,Cat 1,OK
006WR00000xwG41YAE,Omaha_MDU_Venice Apartments,Omaha_MDU_Venice Apartments,,Cat 1,OK
006WR00000xwG5dYAE,Omaha_MDU_4955-4957 Cuming St,Omaha_MDU_4955-4957 Cuming St,,Cat 1,OK
006WR00000xwG8rYAE,Omaha_MDU_5005-5007 California St,Omaha_MDU_5005-5007 California St,,Cat 1,OK
006WR00000xwGDhYAM,Omaha_MDU_5102 Capital Ave,Omaha_MDU_5102 Capital Ave,,Cat 1,OK
006WR00000xwGFJYA2,Omaha_MDU_Park Lane Apartments,Omaha_MDU_Park Lane Apartments,,Cat 1,OK
006WR00000xwGLlYAM,OMAHA_MDU_6569-6571 Military Ave APTS,OMAHA_MDU_6569-6571 Military Ave APTS,,Cat 1,OK
006WR00000xwGOzYAM,Omaha_MDU_706 N 50th St,Omaha_MDU_706 N 50th St,,Cat 1,OK
006WR00000xwGQbYAM,Omaha_MDU_821 N 47th St,Omaha_MDU_821 N 47th St,,Cat 1,OK
006WR00000xwGTpYAM,Omaha_MDU_915 N 48TH ST,Omaha_MDU_915 N 48TH ST,,Cat 1,OK
006WR00000xwGaHYAU,Harker Heights_MDU_Village Apts,Harker Heights_MDU_Village Apts,,Cat 1,OK
006WR00000xwGbtYAE,Killeen_MDU_Fairway Park,Killeen_MDU_Fairway Park,,Cat 1,OK
006WR00000xwGdVYAU,HARKER HEIGHTS_MDU_JR's_Trailer_Park,HARKER HEIGHTS_MDU_JR's_Trailer_Park,,Cat 1,OK
006WR00000xwGgjYAE,Jarrell_MDU_Rock Terrace Apartments,Jarrell_MDU_Rock Terrace Apartments,,Cat 1,OK
006WR00000xwGiLYAU,Killeen_MDU_Gray St North Apartments,Killeen_MDU_Gray St North Apartments,,Cat 1,OK
006WR00000xwGlZYAU,Rhome_MDU_Rhome Apartments,Rhome_MDU_Rhome Apartments,,Cat 1,OK
006WR00000xwGtdYAE,HARKER HEIGHTS_MDU_Cedar_Knob_RD MHP,HARKER HEIGHTS_MDU_Cedar_Knob_RD MHP,,Cat 1,OK
006WR00000xwH1hYAE,Killeen_MDU_400-404 Liberty St,Killeen_MDU_400-404 Liberty St,,Cat 1,OK
006WR00000xwH3JYAU,Killeen_MDU_12th Street Apartments,Killeen_MDU_12th Street Apartments,,Cat 1,OK
006WR00000xwH4vYAE,Killeen_MDU_Summit Heights Apts,Killeen_MDU_Summit Heights Apts,,Cat 1,OK
006WR00000xwHBNYA2,Harker Heights_MDU_506-508 E Beeline Ln,Harker Heights_MDU_506-508 E Beeline Ln,,Cat 1,OK
006WR00000xwHOHYA2,Killeen_MDU_809 Root Ave,Killeen_MDU_809 Root Ave,,Cat 1,OK
