SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR0000117xlTYAQ,1121 SOUTHEAST PKWY AZLE TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR0000118WRTYA2,5103 LEAVENWORTH ST OMAHA NE,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kit9YAA,ROE - 2301 S FM 51  DECATUR TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kitEYAQ,ROE - 5250 N TARRANT PKWY FORT WORTH TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kitIYAQ,ROE - 8436 DENTON HWY WATAUGA TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kiteYAA,ROE - 6700 DENTON FWY WATAUGA TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHEYAY,ROE - 1855 W BASELINE RD MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHMYAY,ROE - 1811 S ALMA SCHOOL RD MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHTYAY,ROE - 745 W BASELINE RD MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHaYAI,ROE - 535 E SOUTHERN AVE MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHcYAI,ROE - 127 W JUANITA AVE MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHhYAI,ROE - 320 E 10TH DR MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHoYAI,ROE - 1731 W BASELINE RD MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjHuYAI,ROE - 303 E SOUTHERN AVE MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjI1YAI,ROE - 645 S COUNTRY CLUB DR MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjICYAY,ROE - 1136 E HARMONY AVE MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjISYAY,ROE - 347 E SOUTHERN AVE MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjIUYAY,ROE - 415 N VAL VISTA DR MESA AZ,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjIaYAI,ROE - 6910 PACIFIC ST OMAHA NE,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjIpYAI,ROE - 5139 LEAVENWORTH ST OMAHA NE,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjIrYAI,ROE - 6237 N 89TH CIR OMAHA NE,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjIuYAI,ROE - 6304 N 73RD PLZ OMAHA NE,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjJAYAY,ROE - 410 W 7TH ST TAYLOR TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjJMYAY,ROE - 1911 N AUSTIN AVE GEORGETOWN TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjJfYAI,ROE - 1208 S FM 51  DECATUR TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjJkYAI,ROE - 1179 SOUTHEAST PKWY AZLE TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjJxYAI,ROE - 750 S MAIN ST KELLER TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjJyYAI,ROE - 8245 PRECINCT LINE RD NORTH RICHLAND HILLS TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjKJYAY,ROE - 8420 DENTON HWY WATAUGA TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjKLYAY,ROE - 900 S MAIN ST KELLER TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000011kjVhYAI,ROE - 6900 DENTON HWY WATAUGA TX,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
006WR000012SH7VYAW,ROE - 6201 N 89TH CIR OMAHA NE,Submitted_to_FiberFirst__c,false,true,flip_ff_submitted_2026-05-01.py,20260501T124419,update
